CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,CATEGORIA;
Magdalena Witherop,Laptop,382918,8,Medellín,John,11/10/2024,Cancelado,etc...;
Murdock Peterson,etc...,1916693,6,Cali,Oscar,10/12/2024,Pendiente,etc...;
Fernande Savage,Laptop,2520513,2,Bogotá,Oscar,02/19/2025,Pendiente,Electrodomésticos;
Luca Gligori,Televisor,2688029,6,Bogotá,Oscar,11/15/2024,Pendiente,Electrodomésticos;
Malena Gilchrest,Laptop,890996,2,etc...,Oscar,11/09/2024,Cancelado,etc...;
Wilhelmina Husthwaite,etc...,704506,5,Cali,Oscar,05/27/2024,Cancelado,Accesorios;
Jolyn Readitt,Laptop,2525833,1,Bogotá,John,10/19/2024,Pendiente,Electrodomésticos;
Bambi Deporte,etc...,1303795,4,Medellín,John,09/04/2024,Pendiente,Accesorios;
Olimpia Conradsen,etc...,2216281,6,etc...,John,08/03/2024,Cancelado,etc...;
Tiler Eade,Celular,2623928,9,Cali,Oscar,01/10/2025,Cancelado,Tecnología;
Kayle Ruskin,etc...,926309,7,etc...,John,12/13/2024,Cerrado,Accesorios;
Luz Jago,Televisor,772750,10,Medellín,John,04/10/2025,Cancelado,Electrodomésticos;
Corty Gounard,Celular,635600,8,Medellín,Karen,03/26/2025,Cancelado,Tecnología;
Dewitt Gurwood,etc...,602519,6,Cali,Karen,03/27/2025,Cancelado,Tecnología;
Harlie Donnellan,Televisor,2348652,6,Medellín,John,02/16/2025,Pendiente,Accesorios;
Marsh Stoffersen,etc...,465653,1,Bogotá,Karen,11/08/2024,Cerrado,etc...;
Claudian Alesin,etc...,1715937,2,Cali,Karen,01/21/2025,Cerrado,Tecnología;
Harlen Ludovico,Televisor,1263187,3,Bogotá,John,02/03/2025,Cancelado,etc...;
Wes Winters,etc...,1162767,8,Medellín,Karen,05/03/2025,Cancelado,Tecnología;
Arny Ingerman,Laptop,197801,7,Medellín,John,06/10/2024,Cerrado,Electrodomésticos;
Kial Aksell,Televisor,1744601,2,Medellín,Oscar,11/24/2024,Cancelado,Electrodomésticos;
Mort Cristoforo,Televisor,682801,8,etc...,Karen,11/23/2024,Cerrado,Tecnología;
Eduino Henriet,Laptop,166362,5,Medellín,Oscar,11/29/2024,Cerrado,Tecnología;
Tyrus Dagwell,etc...,2894718,7,etc...,John,08/05/2024,Cancelado,Tecnología;
Coral Bristoe,Celular,456075,10,etc...,John,01/15/2025,Cancelado,Tecnología;
Morey Rainton,Televisor,620761,5,Cali,Karen,08/15/2024,Pendiente,Electrodomésticos;
Karrah Flight,etc...,1524507,2,Medellín,Oscar,02/06/2025,Pendiente,Electrodomésticos;
Tracee Dowthwaite,Laptop,1342392,7,Bogotá,Oscar,02/22/2025,Pendiente,Electrodomésticos;
Correy Okey,Televisor,1520638,7,Cali,Oscar,03/17/2025,Cerrado,Accesorios;
Town Southouse,etc...,2582592,5,Bogotá,John,04/27/2025,Pendiente,etc...;
Liesa Ensor,Celular,2012600,4,Cali,Oscar,03/24/2025,Cerrado,Accesorios;
Gaultiero Heeley,Celular,977542,3,Bogotá,Karen,03/16/2025,Cerrado,etc...;
Drusi Masterman,etc...,1380078,9,Cali,Karen,10/25/2024,Cancelado,Accesorios;
Hamil Ewbank,Celular,2528792,6,Cali,John,06/05/2024,Cancelado,etc...;
Patrick Tuttiett,Televisor,2050498,10,Bogotá,Oscar,12/18/2024,Cancelado,etc...;
Rebekah O'Glessane,Celular,460132,3,Bogotá,John,02/24/2025,Cerrado,Accesorios;
Haley Nise,Celular,400125,7,Bogotá,John,09/09/2024,Pendiente,etc...;
Bourke Cutajar,Laptop,1284485,3,Medellín,Oscar,04/01/2025,Pendiente,etc...;
Warden Hares,Laptop,2837995,3,Cali,Karen,03/06/2025,Cancelado,etc...;
Annabel Childs,Televisor,2891815,9,Medellín,John,01/23/2025,Cerrado,Tecnología;
Star Guyton,Celular,1891859,5,Medellín,Oscar,02/24/2025,Cerrado,Tecnología;
Eulalie Butrimovich,Laptop,696349,4,Medellín,Karen,10/26/2024,Cancelado,Accesorios;
Terrell Beggs,Televisor,1705049,9,Bogotá,Karen,08/11/2024,Pendiente,Accesorios;
Ennis Castiglione,etc...,675757,2,Medellín,Karen,05/30/2024,Pendiente,Tecnología;
Clark Laidler,Televisor,946014,7,Medellín,John,04/09/2025,Cerrado,Tecnología;
Adelbert Gristhwaite,Celular,2208258,4,Medellín,Karen,02/17/2025,Pendiente,Accesorios;
Nannie Sacco,Laptop,559222,8,Medellín,John,09/28/2024,Cerrado,Accesorios;
Ludovico De Vere,Televisor,2156399,1,etc...,John,12/01/2024,Pendiente,Accesorios;
Alaric Millimoe,Televisor,828360,2,Cali,Oscar,12/10/2024,Cerrado,Electrodomésticos;
Noelani Walesby,Televisor,980284,9,Cali,Oscar,04/17/2025,Cancelado,Electrodomésticos;
Spencer Patrickson,etc...,2240555,6,Bogotá,Oscar,12/10/2024,Cerrado,Tecnología;
Humbert Selcraig,Celular,2248410,5,etc...,Oscar,08/31/2024,Pendiente,etc...;
Ruttger Garahan,Laptop,1161661,3,Medellín,Oscar,11/18/2024,Pendiente,Tecnología;
Dalston Roskrug,Laptop,2152936,3,Medellín,Karen,09/20/2024,Cancelado,Accesorios;
Melba Bambrugh,Celular,2545277,8,Medellín,Oscar,07/16/2024,Cancelado,Accesorios;
Benny Crispin,Celular,1074025,4,Medellín,Karen,10/29/2024,Cerrado,Accesorios;
Osborn Meagh,Televisor,691897,1,Medellín,John,01/25/2025,Cancelado,Accesorios;
Dill Gibbett,etc...,1687097,9,etc...,John,03/30/2025,Pendiente,Electrodomésticos;
Maxwell Coldman,etc...,1311062,9,Cali,John,03/16/2025,Pendiente,Tecnología;
Danella Josephi,Televisor,2717542,4,Bogotá,John,07/08/2024,Cancelado,etc...;
Alphard Kinnach,Televisor,1212441,2,Medellín,Oscar,09/11/2024,Cerrado,Tecnología;
Ricky Sybry,etc...,2588100,5,etc...,John,02/22/2025,Cerrado,Electrodomésticos;
Sayers Djurdjevic,etc...,1591681,5,etc...,Karen,03/18/2025,Cancelado,Accesorios;
Bay Sarra,etc...,1178724,5,Medellín,Oscar,05/12/2024,Pendiente,Tecnología;
Haily Warland,Laptop,536411,9,Cali,Oscar,10/28/2024,Pendiente,Accesorios;
Leeann Dibner,Televisor,316995,6,etc...,Oscar,11/30/2024,Cerrado,etc...;
Vanni Gofford,Televisor,1451382,8,etc...,Oscar,03/19/2025,Cancelado,Tecnología;
Archie Hanhardt,etc...,2600325,6,Cali,John,11/21/2024,Pendiente,Accesorios;
Carline Alston,Laptop,2793851,6,etc...,Karen,05/25/2024,Pendiente,Tecnología;
Karna Syphus,Celular,1482468,7,Cali,John,06/14/2024,Cerrado,Accesorios;
Emlyn Edess,Televisor,1648155,9,Bogotá,Karen,11/06/2024,Pendiente,etc...;
Tiertza Cattermole,Televisor,1336582,3,Bogotá,Oscar,11/18/2024,Pendiente,Electrodomésticos;
Lewes MacAvaddy,Televisor,2924009,1,Cali,Oscar,06/25/2024,Cancelado,etc...;
Melitta Kemmey,Televisor,2861855,4,Medellín,Karen,10/24/2024,Cancelado,Electrodomésticos;
Trixi Tal,Televisor,1755893,6,Cali,Oscar,10/11/2024,Pendiente,etc...;
Kala Ledbetter,etc...,2403022,5,Bogotá,Oscar,12/31/2024,Cerrado,etc...;
Brunhilde Thoma,Laptop,2339664,1,Cali,Karen,10/10/2024,Pendiente,Accesorios;
Donavon Brinkman,Laptop,2443666,10,Cali,Oscar,10/14/2024,Pendiente,Tecnología;
Danya Rimbault,Celular,2521061,2,Cali,Karen,10/04/2024,Cancelado,Accesorios;
Lotty Lysons,Celular,1407125,1,etc...,Karen,04/23/2025,Pendiente,etc...;
Farleigh Ruilton,Laptop,2062118,10,etc...,Oscar,09/03/2024,Pendiente,Electrodomésticos;
Nickey Haskins,Celular,2559507,10,Cali,Karen,08/30/2024,Cancelado,Electrodomésticos;
Paulette Lippard,Laptop,846607,6,etc...,John,03/07/2025,Cerrado,etc...;
Matthieu Scoates,Celular,2609205,9,Medellín,Oscar,04/29/2025,Cancelado,Tecnología;
Eliza Pohlak,Televisor,392988,2,Bogotá,John,07/03/2024,Cancelado,Accesorios;
Reeba Gilleson,etc...,2481875,9,etc...,Oscar,12/01/2024,Pendiente,etc...;
Rona Nucciotti,Televisor,144772,8,Medellín,John,10/30/2024,Cerrado,Tecnología;
Juanita Pirolini,Celular,1524197,7,Medellín,Oscar,09/14/2024,Pendiente,Accesorios;
Crysta Collard,Laptop,343610,9,etc...,Karen,05/29/2024,Cerrado,Accesorios;
Federico Carlisso,Celular,1500916,5,Cali,John,01/22/2025,Cancelado,Accesorios;
Mikael Swetland,Celular,1319464,2,Medellín,Karen,01/06/2025,Pendiente,Electrodomésticos;
Blane Roust,Laptop,1237030,1,etc...,Oscar,04/20/2025,Cancelado,etc...;
Madonna Lukins,Laptop,1655062,10,etc...,Oscar,02/18/2025,Cerrado,Electrodomésticos;
Danny Fearneley,Celular,1539871,5,etc...,John,04/13/2025,Cerrado,Tecnología;
Homer Ors,etc...,2505543,4,Bogotá,John,12/26/2024,Pendiente,Accesorios;
Korey Margiotta,Laptop,2197959,10,Medellín,Karen,02/26/2025,Pendiente,Accesorios;
Griz Olphert,Celular,1669214,1,Bogotá,John,05/19/2024,Pendiente,Tecnología;
Brian Talboy,etc...,325437,10,etc...,Karen,03/23/2025,Pendiente,etc...;
Joachim Petrovsky,Celular,982744,1,Cali,Oscar,02/17/2025,Cerrado,Accesorios;
Bevan Elgey,Televisor,1966723,4,etc...,Karen,10/15/2024,Cerrado,etc...;
Mary Wallbanks,Laptop,771860,2,etc...,John,03/07/2025,Cancelado,etc...;
Layla Allicock,Televisor,168069,2,etc...,John,12/13/2024,Pendiente,Electrodomésticos;
Tandy Ruecastle,Televisor,1200117,10,Bogotá,Oscar,04/09/2025,Pendiente,Electrodomésticos;
Ludovico Winfield,Celular,2561955,6,Medellín,John,05/18/2024,Pendiente,etc...;
Verile Harrismith,Celular,1562693,9,Medellín,Karen,05/18/2024,Cancelado,Electrodomésticos;
Lucky Abells,Celular,1838566,8,Medellín,John,02/05/2025,Pendiente,Electrodomésticos;
Terrel Fairnie,Laptop,1007394,8,Cali,Oscar,02/24/2025,Cancelado,Tecnología;
Bartolemo Ashall,etc...,2516165,9,etc...,John,04/08/2025,Cerrado,Tecnología;
Babb Volett,Laptop,2003809,1,Bogotá,Oscar,12/15/2024,Pendiente,Electrodomésticos;
Brear Shayes,Televisor,1128448,10,Bogotá,John,01/04/2025,Cancelado,Accesorios;
Fidel Halifax,Televisor,1691664,1,Bogotá,John,08/18/2024,Cancelado,etc...;
Bill McGooch,Celular,1953107,2,Cali,John,06/10/2024,Cerrado,Tecnología;
Theobald Fontes,Televisor,2530750,6,Cali,John,04/02/2025,Pendiente,Tecnología;
Kari Maybey,etc...,1648767,7,etc...,Oscar,01/11/2025,Pendiente,Tecnología;
Armin Gladman,Laptop,1387676,5,Bogotá,Karen,04/14/2025,Cerrado,etc...;
Ree Frankom,etc...,2025817,7,Bogotá,John,03/01/2025,Pendiente,etc...;
Leodora Stening,Celular,2612942,4,Bogotá,Karen,05/09/2025,Cerrado,Accesorios;
Crichton Schowenburg,Televisor,1913908,5,Medellín,Karen,10/20/2024,Cerrado,Electrodomésticos;
Papagena Alman,Celular,1660364,10,Medellín,Oscar,08/18/2024,Cerrado,Tecnología;
Teena Broader,Celular,2975953,7,etc...,Karen,08/29/2024,Cerrado,Accesorios;
Elfie Blaxland,Laptop,2185722,8,Medellín,Oscar,05/23/2024,Cerrado,Accesorios;
Basile Filtness,Televisor,593171,7,etc...,Oscar,03/11/2025,Cancelado,etc...;
Rennie Musterd,Televisor,2567886,1,etc...,Oscar,09/29/2024,Pendiente,Electrodomésticos;
Elnore Mayoh,Laptop,1665487,1,etc...,Oscar,11/09/2024,Cerrado,Tecnología;
Modestia Stores,Celular,766129,7,Cali,Karen,06/30/2024,Pendiente,Electrodomésticos;
Alfi Tejero,Laptop,422036,2,etc...,Oscar,09/14/2024,Cancelado,etc...;
Vasily Norgate,Laptop,262168,1,Medellín,John,09/20/2024,Cancelado,etc...;
Kaitlin Lavell,Televisor,2993480,8,Cali,Karen,04/07/2025,Cancelado,etc...;
Felic Vaen,etc...,1326263,8,Cali,Karen,10/03/2024,Cancelado,etc...;
Dermot Jamison,etc...,955163,4,Bogotá,Karen,08/02/2024,Cerrado,Accesorios;
Dilan Allday,Televisor,140364,7,Bogotá,Karen,07/08/2024,Cancelado,Tecnología;
Jory Dionisio,Televisor,1160621,6,Bogotá,Oscar,10/01/2024,Pendiente,etc...;
Darice Devaney,Celular,2829413,5,Cali,Karen,02/22/2025,Pendiente,Electrodomésticos;
Casper Doherty,Laptop,2630366,2,etc...,Oscar,08/20/2024,Cancelado,Tecnología;
Pierre Coom,etc...,1931936,4,etc...,Oscar,02/15/2025,Pendiente,etc...;
Ogden Mengue,etc...,1931768,10,Medellín,Karen,03/01/2025,Cerrado,Accesorios;
Abigael Powter,Televisor,1685683,8,Medellín,John,07/27/2024,Cerrado,Tecnología;
Andres Shields,Laptop,545361,2,Medellín,Oscar,03/10/2025,Cancelado,Accesorios;
Arlie Cranna,etc...,2120122,10,Bogotá,John,07/03/2024,Cancelado,Electrodomésticos;
Seka Steabler,Celular,1976469,9,Medellín,Karen,04/03/2025,Cancelado,etc...;
Cortie Renard,etc...,2299983,8,etc...,Karen,08/09/2024,Cancelado,Electrodomésticos;
Antoinette Marsham,etc...,2213003,2,Bogotá,Oscar,07/04/2024,Cancelado,Accesorios;
Wynne Woofendell,Laptop,636700,10,etc...,John,08/31/2024,Pendiente,etc...;
Alfonse Gummory,etc...,1483836,6,Medellín,Oscar,07/22/2024,Cerrado,Accesorios;
Veronika Prate,Televisor,863104,8,Medellín,Oscar,01/10/2025,Cerrado,etc...;
Salome Reinert,etc...,1595350,2,etc...,Karen,03/05/2025,Pendiente,Electrodomésticos;
Torey Diamond,Celular,1224794,6,etc...,Oscar,09/04/2024,Cerrado,Tecnología;
Mace Ransome,etc...,2050605,4,Cali,Oscar,08/19/2024,Cerrado,etc...;
Gerrard Durber,Celular,473144,9,Bogotá,John,11/08/2024,Pendiente,Accesorios;
Josselyn Tirrell,Televisor,828662,7,Bogotá,Oscar,05/18/2024,Cancelado,etc...;
Jamey Lefley,Celular,251076,9,etc...,Karen,02/10/2025,Cancelado,Electrodomésticos;
Myron Sitlinton,etc...,883424,1,Medellín,Karen,11/12/2024,Pendiente,Tecnología;
Olin Provest,Celular,1617744,10,Bogotá,John,05/24/2024,Pendiente,Tecnología;
Bettye Catherick,etc...,1688988,6,etc...,Oscar,09/30/2024,Pendiente,etc...;
Cale Blackater,etc...,2508963,3,Bogotá,John,03/14/2025,Cancelado,Tecnología;
Jean Acland,Celular,2253783,6,etc...,John,06/23/2024,Cancelado,Electrodomésticos;
Inger Ricker,etc...,879537,7,Medellín,Karen,10/12/2024,Cerrado,etc...;
Lindy Poundesford,Laptop,332219,5,Medellín,Karen,02/01/2025,Cerrado,Accesorios;
Alison Radoux,etc...,1477257,8,etc...,Oscar,11/11/2024,Cancelado,Electrodomésticos;
Augustine Trehearne,Televisor,1938755,4,Cali,Karen,10/19/2024,Pendiente,Tecnología;
Julius Guitel,Celular,2454016,6,Bogotá,Karen,07/01/2024,Cancelado,Tecnología;
Maure Woodwin,etc...,1053874,2,Cali,John,12/25/2024,Cerrado,etc...;
Berny Alexandre,Laptop,2647960,9,Cali,Oscar,12/26/2024,Cancelado,etc...;
Ginny Chalder,etc...,718703,8,Cali,Karen,04/28/2025,Cancelado,etc...;
Hillard Causon,Celular,684401,1,etc...,John,03/17/2025,Pendiente,Electrodomésticos;
Trstram Nudde,Celular,1064942,9,Cali,John,11/25/2024,Cancelado,Tecnología;
Tiphani Kilday,etc...,1617477,1,Cali,Karen,06/17/2024,Cerrado,Accesorios;
Zena Verzey,Laptop,2173117,10,Medellín,Oscar,12/12/2024,Pendiente,etc...;
Dosi Kepe,Celular,992969,6,Medellín,Karen,05/15/2024,Cancelado,Tecnología;
Umberto Spellesy,Celular,2750395,7,Bogotá,Oscar,04/04/2025,Cerrado,etc...;
Margaretha Gorioli,Laptop,1127771,4,etc...,John,01/13/2025,Cerrado,etc...;
Bartholomew Vale,Celular,2254170,3,Cali,John,08/26/2024,Cancelado,Tecnología;
Inge Shea,etc...,2422423,6,Bogotá,Oscar,10/02/2024,Cerrado,Electrodomésticos;
Lynde Boullen,Celular,1469797,6,Bogotá,Karen,07/06/2024,Cerrado,Accesorios;
Lorain Elham,Celular,1500354,9,Cali,Oscar,11/11/2024,Cancelado,Tecnología;
Cory Pontin,Celular,662908,9,Medellín,Oscar,02/25/2025,Pendiente,Accesorios;
Bronnie Burnsides,Televisor,726473,3,etc...,Oscar,01/24/2025,Cerrado,Tecnología;
Arvie McLorinan,Laptop,565794,4,Bogotá,Oscar,01/17/2025,Pendiente,Electrodomésticos;
Paco Musterd,etc...,607232,4,Bogotá,Karen,12/11/2024,Cancelado,Tecnología;
Farlie FitzGeorge,Televisor,2371090,2,etc...,Oscar,05/01/2025,Cancelado,etc...;
Ralf Marcus,Televisor,1690697,1,Medellín,Karen,06/09/2024,Pendiente,Tecnología;
Editha Skuse,Laptop,705876,5,Bogotá,John,05/07/2025,Cerrado,Tecnología;
Henri Bolus,Laptop,1738348,10,Medellín,John,06/10/2024,Cerrado,Electrodomésticos;
Killian Phillott,etc...,545068,3,Cali,John,05/25/2024,Cerrado,Tecnología;
Jessie Zollner,Celular,2732961,1,Bogotá,John,06/15/2024,Cerrado,Electrodomésticos;
Bearnard Greg,Televisor,1165866,4,Cali,Karen,05/21/2024,Pendiente,Tecnología;
Murdoch Pickwell,Laptop,1959570,2,Bogotá,Oscar,12/29/2024,Cerrado,Accesorios;
Dalila Pinches,Laptop,1192920,3,etc...,Karen,05/28/2024,Cancelado,Accesorios;
Nikolaus Pitts,Celular,2839089,4,Medellín,John,04/04/2025,Pendiente,Electrodomésticos;
Becka Abramin,Televisor,1224514,3,Bogotá,Oscar,09/20/2024,Pendiente,Electrodomésticos;
Shela Skoggings,Celular,1627140,1,etc...,Karen,12/29/2024,Cancelado,Electrodomésticos;
Rhys Jenteau,etc...,1978743,1,Cali,John,06/28/2024,Pendiente,Electrodomésticos;
Lammond Cowans,Televisor,794474,5,Medellín,Oscar,04/17/2025,Pendiente,Electrodomésticos;
Lowe MacCathay,etc...,191727,5,Medellín,Oscar,10/25/2024,Pendiente,Electrodomésticos;
Teodoor Grimsdith,Laptop,2914295,9,Bogotá,Karen,11/28/2024,Pendiente,etc...;
Jaclin Bisatt,Laptop,2340425,7,Cali,Karen,09/09/2024,Cancelado,Electrodomésticos;
Werner Coppenhall,Televisor,1803807,7,etc...,John,07/29/2024,Cerrado,etc...;
Roby Synder,Televisor,891893,5,etc...,Oscar,03/11/2025,Cancelado,Tecnología;
Desiri Berston,Celular,2975721,10,etc...,John,12/06/2024,Pendiente,Accesorios;
Domenic Barson,Laptop,246963,6,Cali,John,08/20/2024,Pendiente,etc...;
Angelique Nelthrop,Televisor,2341531,10,Medellín,John,04/14/2025,Pendiente,Accesorios;
Crosby Ruddock,Televisor,703820,6,Cali,Karen,02/06/2025,Pendiente,Tecnología;
Cozmo Mowles,etc...,2463131,3,Bogotá,Karen,05/13/2024,Pendiente,Accesorios;
Dougy Itzkowicz,Televisor,1728537,7,etc...,Karen,04/05/2025,Cancelado,etc...;
Inessa Hurry,Laptop,1889970,4,Medellín,John,10/11/2024,Cancelado,etc...;
Grange Conaghan,Laptop,137640,3,Bogotá,John,11/02/2024,Pendiente,Tecnología;
Stephanie Entreis,Celular,2643751,8,Bogotá,Karen,01/23/2025,Cancelado,Tecnología;
Sven Bernardeschi,Televisor,1575919,9,Cali,Oscar,12/10/2024,Pendiente,etc...;
Evelyn Wyson,Televisor,2738958,10,Medellín,Oscar,08/16/2024,Pendiente,Tecnología;
Thane Iuorio,Celular,2042268,2,Cali,Karen,04/21/2025,Cerrado,etc...;
Bobine Aubray,Celular,2851238,10,Bogotá,Karen,09/18/2024,Cancelado,Tecnología;
Marietta Hammersley,etc...,658135,7,etc...,John,08/16/2024,Cancelado,Electrodomésticos;
Babbie Greening,Celular,963345,7,Cali,Oscar,11/09/2024,Pendiente,Accesorios;
Vallie Roget,Laptop,1643812,10,Cali,Karen,05/18/2024,Pendiente,Accesorios;
Goddard Grimsdith,Laptop,1641225,10,Cali,Karen,05/09/2025,Pendiente,Tecnología;
Roseanna Takle,Celular,1028044,4,Cali,Karen,12/02/2024,Cancelado,Tecnología;
Chrysa Souley,Laptop,711121,4,Cali,Karen,02/10/2025,Cancelado,etc...;
Dewain Holdforth,Televisor,145315,8,etc...,John,06/10/2024,Pendiente,Tecnología;
Wilfred Brussels,etc...,1947952,8,etc...,Karen,02/13/2025,Cerrado,Electrodomésticos;
Faina Albone,etc...,1558207,7,Bogotá,Oscar,03/21/2025,Cerrado,Electrodomésticos;
Analise Kunneke,etc...,1383230,4,Medellín,Oscar,10/29/2024,Cancelado,etc...;
Charmian Gandar,Laptop,1106800,5,Medellín,Karen,06/30/2024,Pendiente,Accesorios;
Esta Ingarfield,Televisor,1436651,5,Medellín,John,12/01/2024,Cerrado,etc...;
Kilian Ruperto,Televisor,2830172,10,Bogotá,John,11/21/2024,Cancelado,Tecnología;
Adriena Labram,etc...,189952,2,etc...,Oscar,03/15/2025,Cerrado,etc...;
Francisca Bratt,etc...,359073,7,Cali,Oscar,09/02/2024,Cerrado,Accesorios;
Janifer Esom,Laptop,2579126,8,Cali,Karen,11/13/2024,Cancelado,Accesorios;
Cordy Rosettini,etc...,918347,8,Cali,Oscar,10/30/2024,Pendiente,Electrodomésticos;
Kristoffer Mayow,Televisor,491907,10,Medellín,Karen,10/31/2024,Cancelado,etc...;
Otho Dagon,Celular,1289156,4,Bogotá,Oscar,07/13/2024,Pendiente,Tecnología;
Felita Lotherington,Televisor,111945,9,Cali,John,02/19/2025,Cerrado,Accesorios;
Harlen Barnsdall,Celular,2737840,2,Cali,Karen,06/28/2024,Cerrado,Electrodomésticos;
Angelico Breit,Celular,2733338,6,etc...,Karen,03/07/2025,Pendiente,Electrodomésticos;
Ingar Brimmell,Celular,1099576,5,Medellín,Karen,07/08/2024,Pendiente,Electrodomésticos;
Magdalena Ebbing,Laptop,2754462,10,Medellín,John,08/16/2024,Cancelado,Tecnología;
Cordy Van der Veldt,Laptop,2798564,5,Medellín,Karen,07/05/2024,Cancelado,Accesorios;
Cherry Willshee,Laptop,2853145,5,Cali,Oscar,11/28/2024,Cancelado,Tecnología;
Karol Daice,Laptop,321372,10,Cali,Oscar,07/06/2024,Cancelado,Accesorios;
Regan Wincott,Celular,268950,2,etc...,John,01/01/2025,Pendiente,Electrodomésticos;
Filbert Sharpe,Laptop,856719,10,etc...,Oscar,02/06/2025,Cancelado,Accesorios;
Sarina Simonel,Televisor,2348315,9,Cali,Oscar,04/13/2025,Cerrado,Accesorios;
Hulda Jenny,Celular,1306091,4,Cali,Karen,07/24/2024,Cancelado,Accesorios;
Avictor Kaesmakers,Celular,2067975,9,Medellín,John,06/02/2024,Cancelado,Electrodomésticos;
Natty Bourton,Laptop,2598672,5,Bogotá,Karen,08/22/2024,Cerrado,etc...;
Joey Gozney,Televisor,2324859,9,etc...,John,06/23/2024,Pendiente,Electrodomésticos;
Becki Shillinglaw,etc...,2207874,3,Bogotá,John,06/11/2024,Cancelado,Tecnología;
Dionysus Lawrance,Celular,1094636,7,Medellín,Oscar,07/18/2024,Pendiente,Electrodomésticos;
Florenza Maitland,Celular,300534,8,Cali,John,08/17/2024,Cerrado,etc...;
Riannon Chesher,Televisor,395560,9,Bogotá,Oscar,11/07/2024,Pendiente,etc...;
Clevie Gouda,Laptop,2706908,7,Cali,Karen,01/06/2025,Pendiente,etc...;
Raleigh Altofts,Laptop,1382792,10,Medellín,Karen,09/13/2024,Pendiente,Electrodomésticos;
Mandie Lowdwell,Celular,1887231,10,etc...,John,06/15/2024,Cerrado,etc...;
Eveline Jarmain,Celular,539507,4,Medellín,Karen,02/20/2025,Pendiente,etc...;
Arther Heimann,etc...,2603309,2,Bogotá,John,11/07/2024,Pendiente,Tecnología;
Gerianna Fellnee,Televisor,779063,4,Bogotá,John,05/17/2024,Cerrado,Accesorios;
Falito Micheau,Televisor,883989,5,etc...,Karen,04/29/2025,Cerrado,Accesorios;
Ham Denne,Televisor,1516146,8,Bogotá,John,10/26/2024,Cerrado,Electrodomésticos;
Casey Lambrick,Televisor,2074814,5,etc...,Karen,08/06/2024,Cancelado,Electrodomésticos;
Liuka Connop,etc...,2669083,7,Bogotá,Karen,02/08/2025,Cancelado,Accesorios;
Chloris Baxstar,Laptop,1643206,2,Cali,John,12/22/2024,Cerrado,Electrodomésticos;
Rowe Gilling,Celular,709426,2,Bogotá,Karen,08/01/2024,Cancelado,Accesorios;
Madelene Sharnock,etc...,692654,6,etc...,Oscar,06/01/2024,Pendiente,Accesorios;
King Gorman,Televisor,2638896,2,Medellín,Oscar,11/30/2024,Pendiente,Tecnología;
Britni Nudd,Televisor,2752895,9,etc...,John,08/22/2024,Pendiente,Electrodomésticos;
Evan Mc Grath,Celular,2962154,9,Medellín,Karen,09/19/2024,Pendiente,Tecnología;
Hadria Gianuzzi,etc...,1823617,9,etc...,Karen,10/23/2024,Cerrado,etc...;
Eleanore Whale,Celular,973801,3,etc...,Oscar,09/05/2024,Cerrado,etc...;
Forrest Million,etc...,687374,10,etc...,John,01/04/2025,Cancelado,Accesorios;
Kelly Milkin,Celular,2114861,7,Bogotá,John,03/20/2025,Cancelado,Accesorios;
Giovanni Tootin,etc...,2712479,5,Medellín,Karen,05/16/2024,Cerrado,Electrodomésticos;
Nanny Coldrick,etc...,2864332,5,Cali,Karen,12/14/2024,Pendiente,Tecnología;
Dode Harrie,etc...,2638264,2,Cali,John,06/08/2024,Cancelado,Tecnología;
Elvina Blackwell,Celular,2133090,6,Medellín,Karen,12/04/2024,Cerrado,Accesorios;
Freddie Dyzart,Celular,354434,7,etc...,Oscar,09/28/2024,Cancelado,Accesorios;
Diandra Hansie,Celular,625052,8,etc...,Oscar,07/20/2024,Cerrado,etc...;
Kevina Creevy,Televisor,1744956,1,Medellín,John,11/19/2024,Pendiente,Accesorios;
Lisle Voss,Laptop,1446688,5,etc...,John,04/25/2025,Cerrado,etc...;
Morgen O'Suaird,etc...,2349194,4,Bogotá,Oscar,09/03/2024,Cancelado,Tecnología;
Nettie Raleston,Laptop,671283,10,Medellín,Karen,12/15/2024,Cerrado,Accesorios;
Drew Yerson,Laptop,1454018,3,Medellín,John,02/02/2025,Cancelado,Accesorios;
Arleyne Gilchriest,Televisor,1287365,6,Bogotá,Oscar,11/12/2024,Cancelado,etc...;
Lucille Klishin,Celular,1285972,10,Bogotá,John,05/12/2024,Pendiente,Electrodomésticos;
Evangelin Belvin,Televisor,2301360,3,etc...,Oscar,03/15/2025,Cerrado,Accesorios;
Glenna Lealle,etc...,1772557,6,etc...,Karen,05/28/2024,Pendiente,Tecnología;
Salaidh Duggary,Celular,2596357,10,Cali,Karen,10/15/2024,Cancelado,Electrodomésticos;
Colin Tomasik,Celular,1605677,5,Bogotá,Karen,03/20/2025,Cerrado,etc...;
Christine Pittwood,Televisor,883934,5,Bogotá,John,04/15/2025,Cerrado,Accesorios;
Darline Kaesmakers,Celular,1427346,3,Medellín,John,01/19/2025,Cancelado,etc...;
Tracie Giampietro,Televisor,1941947,10,Medellín,John,06/13/2024,Cancelado,Electrodomésticos;
Rossy Arnolds,Laptop,1974468,6,Bogotá,Oscar,06/08/2024,Cancelado,Accesorios;
